ip,hostname
122.147.228.108,news.blueteam1.defense.hitcon
122.147.35.172,news.blueteam2.defense.hitcon
122.147.35.188,news.blueteam3.defense.hitcon
122.147.228.247,news.blueteam4.defense.hitcon
122.147.228.231,news.blueteam5.defense.hitcon
122.147.228.87,news.blueteam6.defense.hitcon
