ip,hostname
122.147.228.105,blog.blueteam1.defense.hitcon
122.147.35.170,blog.blueteam2.defense.hitcon
122.147.35.185,blog.blueteam3.defense.hitcon
122.147.228.250,blog.blueteam4.defense.hitcon
122.147.228.234,blog.blueteam5.defense.hitcon
122.147.228.90,blog.blueteam6.defense.hitcon
122.147.230.122,blog.blueteam7.defense.hitcon
