ip,hostname
122.147.228.110,stack.blueteam1.defense.hitcon
122.147.35.174,stack.blueteam2.defense.hitcon
122.147.35.190,stack.blueteam3.defense.hitcon
122.147.228.254,stack.blueteam4.defense.hitcon
122.147.228.238,stack.blueteam5.defense.hitcon
122.147.228.94,stack.blueteam6.defense.hitcon
122.147.230.126,stack.blueteam7.defense.hitcon
