ip,hostname
122.147.228.100,exchange.blueteam1.defense.hitcon
122.147.35.165,exchange.blueteam2.defense.hitcon
122.147.35.181,exchange.blueteam3.defense.hitcon
122.147.228.245,exchange.blueteam4.defense.hitcon
122.147.228.229,exchange.blueteam5.defense.hitcon
122.147.228.85,exchange.blueteam6.defense.hitcon
