ip,hostname
122.147.228.107,git.blueteam1.defense.hitcon
122.147.35.168,git.blueteam2.defense.hitcon
122.147.35.187,git.blueteam3.defense.hitcon
122.147.228.252,git.blueteam4.defense.hitcon
122.147.228.236,git.blueteam5.defense.hitcon
122.147.228.92,git.blueteam6.defense.hitcon
