ip,hostname
122.147.228.109,chat.blueteam1.defense.hitcon
122.147.35.173,chat.blueteam2.defense.hitcon
122.147.35.189,chat.blueteam3.defense.hitcon
122.147.228.248,chat.blueteam4.defense.hitcon
122.147.228.232,chat.blueteam5.defense.hitcon
122.147.228.88,chat.blueteam6.defense.hitcon
122.147.230.120,chat.blueteam7.defense.hitcon
