ip,hostname
122.147.228.106,oa.blueteam1.defense.hitcon
122.147.35.167,oa.blueteam2.defense.hitcon
122.147.35.186,oa.blueteam3.defense.hitcon
122.147.228.251,oa.blueteam4.defense.hitcon
122.147.228.235,oa.blueteam5.defense.hitcon
122.147.228.91,oa.blueteam6.defense.hitcon
