ip,hostname
122.147.228.101,chk.blueteam1.defense.hitcon
122.147.35.166,chk.blueteam2.defense.hitcon
122.147.35.182,chk.blueteam3.defense.hitcon
122.147.228.246,chk.blueteam4.defense.hitcon
122.147.228.230,chk.blueteam5.defense.hitcon
122.147.228.86,chk.blueteam6.defense.hitcon
122.147.230.118,chk.blueteamsoc.defense.hitcon
